# file...... IEEE_13_Node_With_Houses.csv
# date...... Fri Aug 25 13:06:33 2017
# user...... stephant
# host...... (null)
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,trip_meter1:measured_real_power,trip_meter2:measured_real_power,trip_meter3:measured_real_power,trip_meter4:measured_real_power,trip_meter5:measured_real_power,trip_meter6:measured_real_power,trip_meter7:measured_real_power,trip_meter8:measured_real_power,trip_meter9:measured_real_power,trip_meter10:measured_real_power,trip_meter11:measured_real_power,trip_meter12:measured_real_power,trip_meter13:measured_real_power,trip_meter14:measured_real_power,trip_meter15:measured_real_power
2010-01-01 12:00:00 PST,+44318.7,+3762.68,+4559.32,+4374.37,+59918.2,+39715.3,+47796.7,+45942.4,+47893.2,+38143,+47418.2,+45767.8,+57806.4,+67299.5,+40758.1
2010-01-01 12:00:01 PST,+44287.8,+3760.63,+4559.14,+4323.91,+59918.5,+39683.6,+47796.9,+45944.5,+47892.3,+38142.4,+47418.6,+45770.2,+57805.2,+67300.1,+40759.8
2010-01-01 12:00:02 PST,+44287.7,+3760.3,+4559.09,+4320.03,+59918.6,+39683.5,+47797,+45944.4,+47892.3,+38142.4,+47418.6,+45770.1,+57805.2,+67300.2,+40759.7
2010-01-01 12:00:03 PST,+44287.7,+3760.08,+4559.08,+4319.68,+59918.6,+39683.5,+47797,+45944.4,+47892.3,+38142.4,+47418.6,+45770.1,+57805.3,+67300.2,+40759.7
2010-01-01 12:00:04 PST,+44287.6,+3759.83,+4559.08,+4319.64,+59918.7,+39683.5,+47797,+45944.4,+47892.4,+38142.4,+47418.7,+45770.1,+57805.4,+67300.3,+40759.7
2010-01-01 12:00:05 PST,+44287.6,+3759.54,+4559.07,+4319.64,+59918.7,+39683.5,+47797.1,+45944.4,+47892.4,+38142.5,+47418.7,+45770.1,+57805.5,+67300.4,+40759.7
2010-01-01 12:00:06 PST,+44287.6,+3759.23,+4559.06,+4319.65,+59918.8,+39683.5,+47797.1,+45944.3,+47892.5,+38142.5,+47418.8,+45770,+57805.6,+67300.5,+40759.7
2010-01-01 12:00:07 PST,+44287.6,+3758.88,+4559.06,+4319.65,+59918.9,+39683.4,+47797.2,+45944.3,+47892.6,+38142.6,+47418.8,+45770,+57805.7,+67300.6,+40759.6
2010-01-01 12:00:08 PST,+44295.6,+3758.47,+4559.47,+4319.73,+59897,+39684.9,+47782.5,+45945.9,+47889.9,+38141.2,+50468.1,+45778,+57802.1,+67261.9,+40765.7
2010-01-01 12:00:09 PST,+44295.6,+3758.16,+4558.08,+4319.8,+59897.1,+39684.9,+47782.8,+45945.8,+47889.9,+38141.3,+50468.5,+45778,+57802.2,+67262.5,+40765.7
2010-01-01 12:00:10 PST,+44295.5,+3757.84,+4557.87,+4319.81,+59897.3,+39684.9,+47782.9,+45945.8,+47890.1,+38141.4,+50468.6,+45777.9,+57802.4,+67262.6,+40765.6
2010-01-01 12:00:11 PST,+44295.5,+3757.6,+4557.83,+4319.82,+59897.5,+39684.8,+47783,+45945.7,+47890.3,+38141.5,+50468.7,+45777.9,+57802.7,+67262.9,+40765.6
2010-01-01 12:00:12 PST,+44295.4,+3757.54,+4557.81,+4319.84,+59897.7,+39684.8,+47783.1,+45945.7,+47890.5,+38141.7,+50468.9,+45777.8,+57803,+67263.1,+40765.5
2010-01-01 12:00:13 PST,+44295.3,+3757.77,+4557.78,+4319.85,+59897.9,+39684.7,+47783.3,+45945.6,+47890.8,+38141.9,+50469.1,+45777.7,+57803.4,+67263.5,+40765.4
2010-01-01 12:00:14 PST,+44295.2,+3758.48,+4557.75,+4319.87,+59898.2,+39684.7,+47783.5,+45945.5,+47891.1,+38142.1,+50469.3,+45777.6,+57803.8,+67263.8,+40765.4
