# file...... consumption_outputs/consumption.csv
# date...... Tue Aug 22 16:09:58 2017
# user...... stephant
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(measured_real_power), sum(measured_reactive_power)
2010-01-01 12:00:00 PST,+830844,+539736
2010-01-01 12:00:01 PST,+633812,+431538
2010-01-01 12:00:02 PST,+633817,+431541
2010-01-01 12:00:03 PST,+633806,+431533
2010-01-01 12:00:04 PST,+633810,+431536
2010-01-01 12:00:05 PST,+633806,+431533
2010-01-01 12:00:06 PST,+633808,+431534
2010-01-01 12:00:07 PST,+633807,+431533
2010-01-01 12:00:08 PST,+636772,+432246
2010-01-01 12:00:09 PST,+636775,+432247
2010-01-01 12:00:10 PST,+636774,+432247
2010-01-01 12:00:11 PST,+636774,+432246
2010-01-01 12:00:12 PST,+636425,+432084
2010-01-01 12:00:13 PST,+636773,+432246
2010-01-01 12:00:14 PST,+636425,+432084
2010-01-01 12:00:15 PST,+636773,+432246
2010-01-01 12:00:16 PST,+636425,+432084
2010-01-01 12:00:17 PST,+636773,+432246
2010-01-01 12:00:18 PST,+636425,+432084
2010-01-01 12:00:19 PST,+636773,+432246
2010-01-01 12:00:20 PST,+636425,+432084
2010-01-01 12:00:21 PST,+636773,+432246
2010-01-01 12:00:22 PST,+636425,+432084
2010-01-01 12:00:23 PST,+636773,+432246
2010-01-01 12:00:24 PST,+636425,+432084
2010-01-01 12:00:25 PST,+636773,+432246
2010-01-01 12:00:26 PST,+636425,+432084
2010-01-01 12:00:27 PST,+636773,+432246
2010-01-01 12:00:28 PST,+636425,+432084
2010-01-01 12:00:29 PST,+636773,+432246
2010-01-01 12:00:30 PST,+636425,+432084
2010-01-01 12:00:31 PST,+636773,+432246
2010-01-01 12:00:32 PST,+636425,+432084
2010-01-01 12:00:33 PST,+636773,+432246
2010-01-01 12:00:34 PST,+636425,+432084
2010-01-01 12:00:35 PST,+636773,+432246
2010-01-01 12:00:36 PST,+636425,+432084
2010-01-01 12:00:37 PST,+636773,+432246
2010-01-01 12:00:38 PST,+636425,+432084
2010-01-01 12:00:39 PST,+636773,+432246
2010-01-01 12:00:40 PST,+636425,+432084
2010-01-01 12:00:41 PST,+636773,+432246
2010-01-01 12:00:42 PST,+636425,+432084
2010-01-01 12:00:43 PST,+636773,+432246
2010-01-01 12:00:44 PST,+636425,+432084
2010-01-01 12:00:45 PST,+636773,+432246
2010-01-01 12:00:46 PST,+636425,+432084
2010-01-01 12:00:47 PST,+636773,+432246
2010-01-01 12:00:48 PST,+636425,+432084
2010-01-01 12:00:49 PST,+636773,+432246
2010-01-01 12:00:50 PST,+636425,+432084
2010-01-01 12:00:51 PST,+636773,+432246
2010-01-01 12:00:52 PST,+636425,+432084
2010-01-01 12:00:53 PST,+636773,+432246
2010-01-01 12:00:54 PST,+636425,+432084
2010-01-01 12:00:55 PST,+636773,+432246
2010-01-01 12:00:56 PST,+636425,+432084
