# file...... production_swing_outputs/Diesel_swingnode.csv
# date...... Tue Aug 22 16:09:58 2017
# user...... stephant
# host...... (null)
# target.... diesel_dg 40
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,power_out_A.real, power_out_A.imag, power_out_B.real, power_out_B.imag, power_out_C.real, power_out_C.imag
2010-01-01 12:00:00.000000 PST,+2826.76,-278453,+1378.4,-271297,+2595.84,-282880
2010-01-01 12:00:00.010000 PST,+2826.76,-278453,+1378.4,-271297,+2595.84,-282880
2010-01-01 12:00:01 PST,+165037,-75150.7,+240907,-34354,+225502,+6666.77
2010-01-01 12:00:02 PST,+165047,-75135.9,+240918,-34335.5,+225724,+6625.82
2010-01-01 12:00:03 PST,+165051,-75129.4,+240923,-34324.9,+225581,+6654.01
2010-01-01 12:00:04 PST,+165052,-75128.8,+240926,-34320.8,+225670,+6636.45
2010-01-01 12:00:05 PST,+165052,-75127.9,+240927,-34318.1,+225615,+6647.44
2010-01-01 12:00:06 PST,+165052,-75128.1,+240928,-34317.2,+225649,+6640.61
2010-01-01 12:00:07 PST,+165052,-75127.8,+240928,-34316.6,+225628,+6644.87
2010-01-01 12:00:08 PST,+165036,-75167.4,+243980,-33265,+225635,+6627.79
2010-01-01 12:00:09 PST,+165036,-75164.2,+243985,-33256.8,+225630,+6627.77
2010-01-01 12:00:10 PST,+165036,-75164.2,+243987,-33252.9,+225635,+6626.73
2010-01-01 12:00:11 PST,+165036,-75164.2,+243988,-33251,+225632,+6627.39
2010-01-01 12:00:12 PST,+165036,-75164.2,+243988,-33250.1,+225634,+6627
2010-01-01 12:00:13 PST,+165036,-75164.2,+243989,-33249.6,+225633,+6627.25
2010-01-01 12:00:14 PST,+165036,-75164.2,+243989,-33249.4,+225633,+6627.1
2010-01-01 12:00:15 PST,+165036,-75164.2,+243989,-33249.3,+225633,+6627.19
2010-01-01 12:00:16 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.14
2010-01-01 12:00:17 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.17
2010-01-01 12:00:18 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.15
2010-01-01 12:00:19 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.16
2010-01-01 12:00:20 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.16
2010-01-01 12:00:21 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.16
2010-01-01 12:00:22 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.16
2010-01-01 12:00:23 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.16
2010-01-01 12:00:24 PST,+165036,-75164.2,+243989,-33249.2,+225633,+6627.16
