# file...... consumption_outputs/consumption.csv
# date...... Wed Aug 23 13:45:31 2017
# user...... stephant
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(measured_real_power), sum(measured_reactive_power)
2010-01-01 12:00:00 PST,+796512,+539221
2010-01-01 12:00:01 PST,+595373,+428715
2010-01-01 12:00:02 PST,+595360,+428707
2010-01-01 12:00:03 PST,+595359,+428701
2010-01-01 12:00:04 PST,+595359,+428694
2010-01-01 12:00:05 PST,+595359,+428685
2010-01-01 12:00:06 PST,+595360,+428675
2010-01-01 12:00:07 PST,+595360,+428663
2010-01-01 12:00:08 PST,+598370,+429384
2010-01-01 12:00:09 PST,+598351,+429351
2010-01-01 12:00:10 PST,+598352,+429330
2010-01-01 12:00:11 PST,+598353,+429305
2010-01-01 12:00:12 PST,+598354,+429276
2010-01-01 12:00:13 PST,+598356,+429240
2010-01-01 12:00:14 PST,+598359,+429199
2010-01-01 12:00:15 PST,+598362,+429149
2010-01-01 12:00:16 PST,+598367,+429092
2010-01-01 12:00:17 PST,+598374,+429026
2010-01-01 12:00:18 PST,+598383,+428951
2010-01-01 12:00:19 PST,+598395,+428867
2010-01-01 12:00:20 PST,+598410,+428776
2010-01-01 12:00:21 PST,+598429,+428681
2010-01-01 12:00:22 PST,+598450,+428585
2010-01-01 12:00:23 PST,+598473,+428494
2010-01-01 12:00:24 PST,+598497,+428412
2010-01-01 12:00:25 PST,+598520,+428341
2010-01-01 12:00:26 PST,+598540,+428285
2010-01-01 12:00:27 PST,+598556,+428241
2010-01-01 12:00:28 PST,+598569,+428209
2010-01-01 12:00:29 PST,+598578,+428186
2010-01-01 12:00:30 PST,+598585,+428170
2010-01-01 12:00:31 PST,+598590,+428159
2010-01-01 12:00:32 PST,+598593,+428152
2010-01-01 12:00:33 PST,+598595,+428147
2010-01-01 12:00:34 PST,+598596,+428144
2010-01-01 12:00:35 PST,+598597,+428142
2010-01-01 12:00:36 PST,+598598,+428140
2010-01-01 12:00:37 PST,+598598,+428139
2010-01-01 12:00:38 PST,+598599,+428139
2010-01-01 12:00:39 PST,+598599,+428138
2010-01-01 12:00:40 PST,+598573,+430918
2010-01-01 12:00:41 PST,+598599,+428138
2010-01-01 12:00:42 PST,+598573,+430919
2010-01-01 12:00:43 PST,+598599,+428138
2010-01-01 12:00:44 PST,+598573,+430919
2010-01-01 12:00:45 PST,+598599,+428138
2010-01-01 12:00:46 PST,+598573,+430919
2010-01-01 12:00:47 PST,+598599,+428138
2010-01-01 12:00:48 PST,+598573,+430919
2010-01-01 12:00:49 PST,+598599,+428138
2010-01-01 12:00:50 PST,+598573,+430919
2010-01-01 12:00:51 PST,+598599,+428138
2010-01-01 12:00:52 PST,+598573,+430919
2010-01-01 12:00:53 PST,+598599,+428138
2010-01-01 12:00:54 PST,+598573,+430919
2010-01-01 12:00:55 PST,+598599,+428138
2010-01-01 12:00:56 PST,+598573,+430919
2010-01-01 12:00:57 PST,+598599,+428138
2010-01-01 12:00:58 PST,+598573,+430919
2010-01-01 12:00:59 PST,+601802,+428117
2010-01-01 12:01:00 PST,+601797,+428113
2010-01-01 12:01:01 PST,+601798,+428111
2010-01-01 12:01:02 PST,+601799,+428109
2010-01-01 12:01:03 PST,+601775,+430897
2010-01-01 12:01:04 PST,+601800,+428108
2010-01-01 12:01:05 PST,+601776,+430898
2010-01-01 12:01:06 PST,+601800,+428107
2010-01-01 12:01:07 PST,+601776,+430899
2010-01-01 12:01:08 PST,+601800,+428107
2010-01-01 12:01:09 PST,+601776,+430899
2010-01-01 12:01:10 PST,+601800,+428107
2010-01-01 12:01:11 PST,+601776,+430899
2010-01-01 12:01:12 PST,+601800,+428107
2010-01-01 12:01:13 PST,+601776,+430899
2010-01-01 12:01:14 PST,+601800,+428107
2010-01-01 12:01:15 PST,+601776,+430899
2010-01-01 12:01:16 PST,+601800,+428107
2010-01-01 12:01:17 PST,+601776,+430899
2010-01-01 12:01:18 PST,+601800,+428107
2010-01-01 12:01:19 PST,+601776,+430899
2010-01-01 12:01:20 PST,+601800,+428107
2010-01-01 12:01:21 PST,+601776,+430899
2010-01-01 12:01:22 PST,+601800,+428107
2010-01-01 12:01:23 PST,+601776,+430899
2010-01-01 12:01:24 PST,+601800,+428107
2010-01-01 12:01:25 PST,+601776,+430899
2010-01-01 12:01:26 PST,+601800,+428107
2010-01-01 12:01:27 PST,+601776,+430899
2010-01-01 12:01:28 PST,+601800,+428107
2010-01-01 12:01:29 PST,+601776,+430899
2010-01-01 12:01:30 PST,+601800,+428107
2010-01-01 12:01:31 PST,+601776,+430899
2010-01-01 12:01:32 PST,+601800,+428107
2010-01-01 12:01:33 PST,+601776,+430899
2010-01-01 12:01:34 PST,+601800,+428107
2010-01-01 12:01:35 PST,+601776,+430899
2010-01-01 12:01:36 PST,+601800,+428107
2010-01-01 12:01:37 PST,+601776,+430899
2010-01-01 12:01:38 PST,+601800,+428107
2010-01-01 12:01:39 PST,+601776,+430899
2010-01-01 12:01:40 PST,+601800,+428107
2010-01-01 12:01:41 PST,+601776,+430899
2010-01-01 12:01:42 PST,+601800,+428107
2010-01-01 12:01:43 PST,+601776,+430899
2010-01-01 12:01:44 PST,+601800,+428107
2010-01-01 12:01:45 PST,+601776,+430899
2010-01-01 12:01:46 PST,+601800,+428107
2010-01-01 12:01:47 PST,+601776,+430899
2010-01-01 12:01:48 PST,+601800,+428107
2010-01-01 12:01:49 PST,+601776,+430899
2010-01-01 12:01:50 PST,+601800,+428107
2010-01-01 12:01:51 PST,+601776,+430899
2010-01-01 12:01:52 PST,+601800,+428107
2010-01-01 12:01:53 PST,+601776,+430899
2010-01-01 12:01:54 PST,+601800,+428107
2010-01-01 12:01:55 PST,+601776,+430899
2010-01-01 12:01:56 PST,+601800,+428107
2010-01-01 12:01:57 PST,+601776,+430899
2010-01-01 12:01:58 PST,+601800,+428107
2010-01-01 12:01:59 PST,+601776,+430899
2010-01-01 12:02:00 PST,+601800,+428107
2010-01-01 12:02:01 PST,+601776,+430899
2010-01-01 12:02:02 PST,+601800,+428107
2010-01-01 12:02:03 PST,+601776,+430899
2010-01-01 12:02:04 PST,+601800,+428107
2010-01-01 12:02:05 PST,+601776,+430899
2010-01-01 12:02:06 PST,+601800,+428107
2010-01-01 12:02:07 PST,+601776,+430899
2010-01-01 12:02:08 PST,+601800,+428107
2010-01-01 12:02:09 PST,+604808,+428841
2010-01-01 12:02:10 PST,+604789,+428826
2010-01-01 12:02:11 PST,+604788,+428826
2010-01-01 12:02:12 PST,+604764,+431619
2010-01-01 12:02:13 PST,+604788,+428826
2010-01-01 12:02:14 PST,+604764,+431618
2010-01-01 12:02:15 PST,+604788,+428826
2010-01-01 12:02:16 PST,+604764,+431618
2010-01-01 12:02:17 PST,+604788,+428826
2010-01-01 12:02:18 PST,+604788,+428827
2010-01-01 12:02:19 PST,+604764,+431618
2010-01-01 12:02:20 PST,+604788,+428827
2010-01-01 12:02:21 PST,+604764,+431618
2010-01-01 12:02:22 PST,+604788,+428827
2010-01-01 12:02:23 PST,+604764,+431618
2010-01-01 12:02:24 PST,+607956,+428797
2010-01-01 12:02:25 PST,+607959,+428792
2010-01-01 12:02:26 PST,+607934,+431582
2010-01-01 12:02:27 PST,+607959,+428792
2010-01-01 12:02:28 PST,+607959,+428793
2010-01-01 12:02:29 PST,+607958,+428793
2010-01-01 12:02:30 PST,+607934,+431582
2010-01-01 12:02:31 PST,+607958,+428793
2010-01-01 12:02:32 PST,+607934,+431582
2010-01-01 12:02:33 PST,+607958,+428793
2010-01-01 12:02:34 PST,+607934,+431582
2010-01-01 12:02:35 PST,+607958,+428793
2010-01-01 12:02:36 PST,+607934,+431582
2010-01-01 12:02:37 PST,+607958,+428793
2010-01-01 12:02:38 PST,+607934,+431582
2010-01-01 12:02:39 PST,+607958,+428793
2010-01-01 12:02:40 PST,+607934,+431582
2010-01-01 12:02:41 PST,+607958,+428793
2010-01-01 12:02:42 PST,+607934,+431582
2010-01-01 12:02:43 PST,+607958,+428793
2010-01-01 12:02:44 PST,+607934,+431582
2010-01-01 12:02:45 PST,+607958,+428793
2010-01-01 12:02:46 PST,+607934,+431582
2010-01-01 12:02:47 PST,+607958,+428793
2010-01-01 12:02:48 PST,+607934,+431582
2010-01-01 12:02:49 PST,+607958,+428793
2010-01-01 12:02:50 PST,+607934,+431582
2010-01-01 12:02:51 PST,+610134,+429317
2010-01-01 12:02:52 PST,+610130,+429314
2010-01-01 12:02:53 PST,+610131,+429312
2010-01-01 12:02:54 PST,+610132,+429311
2010-01-01 12:02:55 PST,+610132,+429310
2010-01-01 12:02:56 PST,+613535,+429292
2010-01-01 12:02:57 PST,+613513,+429274
2010-01-01 12:02:58 PST,+613513,+429273
2010-01-01 12:02:59 PST,+616710,+429243
2010-01-01 12:03:00 PST,+616709,+429233
2010-01-01 12:03:01 PST,+616709,+429234
