# file...... consumption_outputs/consumption.csv
# date...... Wed Aug 23 15:54:30 2017
# user...... stephant
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(measured_real_power), sum(measured_reactive_power)
2010-01-01 12:00:00 PST,+335194,-2.91465e-11
2010-01-01 12:00:01 PST,+211037,-3.90077e-12
2010-01-01 12:00:02 PST,+211037,-1.35606e-11
2010-01-01 12:00:03 PST,+211037,-1.36656e-11
2010-01-01 12:00:04 PST,+211037,-3.01876e-11
2010-01-01 12:00:05 PST,+211037,-1.3306e-12
2010-01-01 12:00:06 PST,+211037,-2.5947e-11
2010-01-01 12:00:07 PST,+211037,+2.31991e-11
2010-01-01 12:00:08 PST,+211037,-3.70903e-12
2010-01-01 12:00:09 PST,+211037,-2.18917e-11
2010-01-01 12:00:10 PST,+211037,-2.23537e-11
2010-01-01 12:00:11 PST,+211037,-3.18376e-11
2010-01-01 12:00:12 PST,+211037,-9.59044e-12
2010-01-01 12:00:13 PST,+211037,-2.51422e-11
2010-01-01 12:00:14 PST,+211037,-3.41451e-11
2010-01-01 12:00:15 PST,+211037,-2.9157e-11
2010-01-01 12:00:16 PST,+211037,-2.91818e-11
2010-01-01 12:00:17 PST,+211037,-3.78754e-11
2010-01-01 12:00:18 PST,+211037,-5.95046e-12
2010-01-01 12:00:19 PST,+211037,-1.36567e-11
2010-01-01 12:00:20 PST,+211037,-4.06519e-11
2010-01-01 12:00:21 PST,+211037,-2.04636e-11
2010-01-01 12:00:22 PST,+211037,-4.51513e-11
2010-01-01 12:00:23 PST,+211037,-3.91899e-11
2010-01-01 12:00:24 PST,+211037,-3.55486e-11
2010-01-01 12:00:25 PST,+211037,-3.06496e-11
2010-01-01 12:00:26 PST,+211037,-1.23441e-11
2010-01-01 12:00:27 PST,+211037,-1.65129e-11
2010-01-01 12:00:28 PST,+211037,-4.84004e-11
2010-01-01 12:00:29 PST,+211037,-1.873e-11
2010-01-01 12:00:30 PST,+211037,+1.3447e-12
2010-01-01 12:00:31 PST,+211037,-2.87307e-11
2010-01-01 12:00:32 PST,+211037,-2.67021e-11
2010-01-01 12:00:33 PST,+211037,-1.38559e-11
2010-01-01 12:00:34 PST,+211037,-4.18653e-11
2010-01-01 12:00:35 PST,+211037,-2.03909e-11
2010-01-01 12:00:36 PST,+211037,-1.9666e-11
2010-01-01 12:00:37 PST,+211037,+1.38922e-12
2010-01-01 12:00:38 PST,+211037,-1.87015e-11
2010-01-01 12:00:39 PST,+211037,+1.31095e-12
2010-01-01 12:00:40 PST,+211037,-4.413e-11
2010-01-01 12:00:41 PST,+211037,-2.69438e-11
2010-01-01 12:00:42 PST,+211037,-2.78002e-11
2010-01-01 12:00:43 PST,+211037,-1.64398e-11
2010-01-01 12:00:44 PST,+211037,-3.24237e-11
2010-01-01 12:00:45 PST,+211037,-2.39488e-11
2010-01-01 12:00:46 PST,+211037,-3.68738e-11
2010-01-01 12:00:47 PST,+211037,-1.95934e-11
2010-01-01 12:00:48 PST,+211037,+1.21094e-11
2010-01-01 12:00:49 PST,+211037,+1.41114e-11
2010-01-01 12:00:50 PST,+211037,-1.05163e-11
2010-01-01 12:00:51 PST,+211037,-9.50018e-12
2010-01-01 12:00:52 PST,+211037,-3.09794e-11
2010-01-01 12:00:53 PST,+211037,-6.49281e-12
2010-01-01 12:00:54 PST,+211037,-5.22852e-11
2010-01-01 12:00:55 PST,+211037,-2.10355e-11
2010-01-01 12:00:56 PST,+211037,-1.36424e-12
2010-01-01 12:00:57 PST,+211037,-1.60458e-11
2010-01-01 12:00:58 PST,+211037,-4.1247e-12
2010-01-01 12:00:59 PST,+211037,-1.64008e-11
2010-01-01 12:01:00 PST,+211037,-3.00097e-11
2010-01-01 12:01:01 PST,+211037,-2.49541e-11
2010-01-01 12:01:02 PST,+211037,-2.69013e-11
2010-01-01 12:01:03 PST,+211037,-2.27905e-11
2010-01-01 12:01:04 PST,+211037,-1.37419e-11
2010-01-01 12:01:05 PST,+211037,+4.06775e-12
2010-01-01 12:01:06 PST,+211037,-3.28607e-11
2010-01-01 12:01:07 PST,+211037,-3.37341e-12
2010-01-01 12:01:08 PST,+211037,-2.74517e-11
2010-01-01 12:01:09 PST,+211037,-1.3742e-11
2010-01-01 12:01:10 PST,+211037,-1.77224e-11
2010-01-01 12:01:11 PST,+211037,-3.33654e-11
2010-01-01 12:01:12 PST,+211037,-2.26557e-11
2010-01-01 12:01:13 PST,+211037,-1.44649e-11
2010-01-01 12:01:14 PST,+211037,-3.28612e-11
