# file...... meters_outputs/meter646.csv
# date...... Wed Aug 23 15:54:30 2017
# user...... stephant
# host...... (null)
# target.... meter 58
# trigger... (none)
# interval.. 1
# limit..... -2147483648
# timestamp,measured_angle_A, measured_angle_B, measured_angle_C, measured_frequency_A, measured_frequency_B, measured_frequency_C, measured_frequency, measured_power.real, measured_power.imag, measured_power_A.real, measured_power_A.imag, measured_power_B.real, measured_power_B.imag, measured_power_C.real, measured_power_C.imag
2010-01-01 12:00:00.000000 PST,+0,+4.1819,+2.08382,+0,+50.0316,+50.0377,+50.0347,+0.000151646,+0.000151651,+0,+0,+7.4323e-05,+7.43248e-05,+7.73233e-05,+7.7326e-05
2010-01-01 12:00:00.010000 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+0.000151646,+0.000151649,+0,+0,+7.43217e-05,+7.43231e-05,+7.73241e-05,+7.73258e-05
2010-01-01 12:00:01 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.2,+122.649,+0,+0,+10045.3,+24.5645,+20080.8,+98.0844
2010-01-01 12:00:02 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.1,+122.668,+0,+0,+10045.3,+24.5645,+20080.8,+98.1038
2010-01-01 12:00:03 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.1,+122.668,+0,+0,+10045.3,+24.5645,+20080.8,+98.1038
2010-01-01 12:00:04 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.1,+122.668,+0,+0,+10045.3,+24.5645,+20080.8,+98.1038
2010-01-01 12:00:05 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.1,+122.668,+0,+0,+10045.3,+24.5645,+20080.8,+98.1038
2010-01-01 12:00:06 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.1,+122.668,+0,+0,+10045.3,+24.5645,+20080.8,+98.1038
2010-01-01 12:00:07 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.1,+122.668,+0,+0,+10045.3,+24.5645,+20080.8,+98.1038
2010-01-01 12:00:08 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.1,+122.668,+0,+0,+10045.3,+24.5645,+20080.8,+98.1038
2010-01-01 12:00:09 PST,+0,+4.18405,+2.08617,+0,+50.031,+50.0374,+50.0342,+30126.1,+122.668,+0,+0,+10045.3,+24.5645,+20080.8,+98.1038
