# file...... consumption_outputs/consumption.csv
# date...... Wed Aug 23 16:23:20 2017
# user...... stephant
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. -1
# limit..... 0
# property.. timestamp,sum(measured_real_power), sum(measured_reactive_power)
2010-01-01 12:00:00 PST,+248172,-1078.45
2010-01-01 12:00:01 PST,+124556,-7.32522
2010-01-01 12:00:02 PST,+124558,-0.0972025
2010-01-01 12:00:03 PST,+124558,-0.00285586
2010-01-01 12:00:04 PST,+124558,-9.0393e-05
2010-01-01 12:00:05 PST,+124558,-2.90438e-06
2010-01-01 12:00:06 PST,+124558,-6.12815e-09
2010-01-01 12:00:07 PST,+124558,+1.16578e-07
2010-01-01 12:00:08 PST,+124558,+5.41847e-08
2010-01-01 12:00:09 PST,+124558,+4.35668e-08
2010-01-01 12:00:10 PST,+124558,-5.93048e-08
2010-01-01 12:00:11 PST,+124558,-1.27584e-07
2010-01-01 12:00:12 PST,+124558,+5.04682e-08
2010-01-01 12:00:13 PST,+124558,+6.61525e-08
2010-01-01 12:00:14 PST,+124558,+9.79423e-09
2010-01-01 12:00:15 PST,+124558,+4.89569e-08
2010-01-01 12:00:16 PST,+124558,-6.52823e-08
2010-01-01 12:00:17 PST,+124558,-4.0071e-08
2010-01-01 12:00:18 PST,+124558,+2.8373e-08
2010-01-01 12:00:19 PST,+124558,+1.36651e-07
2010-01-01 12:00:20 PST,+124558,+5.83953e-08
2010-01-01 12:00:21 PST,+124558,-1.31857e-09
2010-01-01 12:00:22 PST,+124558,+3.55535e-08
2010-01-01 12:00:23 PST,+124558,+7.5009e-08
2010-01-01 12:00:24 PST,+124558,-8.05115e-08
2010-01-01 12:00:25 PST,+124558,+2.39476e-08
2010-01-01 12:00:26 PST,+124558,-1.33891e-07
2010-01-01 12:00:27 PST,+124558,+9.06444e-08
2010-01-01 12:00:28 PST,+124558,-1.44897e-08
2010-01-01 12:00:29 PST,+124558,-3.59188e-09
2010-01-01 12:00:30 PST,+124558,-1.00786e-07
2010-01-01 12:00:31 PST,+124558,+1.07305e-07
2010-01-01 12:00:32 PST,+124558,-3.46566e-08
2010-01-01 12:00:33 PST,+124558,+2.44732e-08
2010-01-01 12:00:34 PST,+124558,+1.18289e-07
2010-01-01 12:00:35 PST,+124558,-3.73292e-08
2010-01-01 12:00:36 PST,+124558,-5.23109e-08
2010-01-01 12:00:37 PST,+124558,-1.38509e-07
2010-01-01 12:00:38 PST,+124558,+4.90676e-08
2010-01-01 12:00:39 PST,+124558,+3.56784e-08
2010-01-01 12:00:40 PST,+124558,-9.00877e-08
2010-01-01 12:00:41 PST,+124558,-6.20978e-08
2010-01-01 12:00:42 PST,+124558,-3.9455e-09
2010-01-01 12:00:43 PST,+124558,-9.76149e-09
2010-01-01 12:00:44 PST,+124558,+2.14852e-08
2010-01-01 12:00:45 PST,+124558,+3.11833e-08
2010-01-01 12:00:46 PST,+124558,-4.13564e-08
2010-01-01 12:00:47 PST,+124558,+1.75082e-07
2010-01-01 12:00:48 PST,+124558,+1.087e-07
2010-01-01 12:00:49 PST,+124558,+1.23743e-07
2010-01-01 12:00:50 PST,+124558,+3.66414e-08
2010-01-01 12:00:51 PST,+124558,-1.87252e-08
2010-01-01 12:00:52 PST,+124558,+1.07352e-08
2010-01-01 12:00:53 PST,+124558,-3.23811e-08
2010-01-01 12:00:54 PST,+124558,+2.07817e-07
2010-01-01 12:00:55 PST,+124558,-1.32833e-07
2010-01-01 12:00:56 PST,+124558,+9.83146e-08
2010-01-01 12:00:57 PST,+124558,-1.3513e-07
2010-01-01 12:00:58 PST,+124558,-1.08442e-08
2010-01-01 12:00:59 PST,+124558,+1.36484e-07
2010-01-01 12:01:00 PST,+124558,-4.3365e-08
2010-01-01 12:01:01 PST,+124558,+5.59657e-08
2010-01-01 12:01:02 PST,+124558,+1.41239e-08
2010-01-01 12:01:03 PST,+124558,+7.38351e-08
2010-01-01 12:01:04 PST,+124558,+6.45352e-08
2010-01-01 12:01:05 PST,+124558,-6.16979e-08
2010-01-01 12:01:06 PST,+124558,+1.66426e-08
2010-01-01 12:01:07 PST,+124558,+2.23039e-08
2010-01-01 12:01:08 PST,+124558,+6.67086e-08
2010-01-01 12:01:09 PST,+124558,-8.50782e-08
2010-01-01 12:01:10 PST,+124558,-8.52237e-08
2010-01-01 12:01:11 PST,+124558,+5.18725e-08
2010-01-01 12:01:12 PST,+124558,+5.31241e-08
2010-01-01 12:01:13 PST,+124558,+6.46438e-08
2010-01-01 12:01:14 PST,+124558,+3.08825e-08
2010-01-01 12:01:15 PST,+124558,+1.59451e-07
2010-01-01 12:01:16 PST,+124558,-5.88339e-08
2010-01-01 12:01:17 PST,+124558,-1.97519e-08
2010-01-01 12:01:18 PST,+124558,+5.4395e-08
2010-01-01 12:01:19 PST,+124558,-1.44953e-07
2010-01-01 12:01:20 PST,+124558,+6.59972e-08
2010-01-01 12:01:21 PST,+124558,+1.33848e-07
2010-01-01 12:01:22 PST,+124558,+1.09631e-07
2010-01-01 12:01:23 PST,+124558,-1.57265e-07
2010-01-01 12:01:24 PST,+124558,-1.59499e-07
2010-01-01 12:01:25 PST,+124558,+9.10372e-08
2010-01-01 12:01:26 PST,+124558,-3.02899e-08
2010-01-01 12:01:27 PST,+124558,+1.47192e-07
